          -99.12718,19.47771,0
          -99.12696,19.47763,0
          -99.12692,19.47762,0
          -99.12688,19.47761,0
          -99.12684,19.47759,0
          -99.1268,19.47758,0
          -99.12676,19.47756,0
          -99.12672,19.47755,0
          -99.12668,19.47753,0
          -99.12664,19.47751,0
          -99.12662,19.4775,0
          -99.12659,19.47749,0
          -99.12657,19.47748,0
          -99.12655,19.47747,0
          -99.12653,19.47746,0
          -99.12651,19.47745,0
          -99.12649,19.47744,0
          -99.12647,19.47743,0
          -99.12642,19.47741,0
          -99.12626,19.47736,0
          -99.12622,19.47734,0
          -99.12612,19.47731,0
          -99.12595,19.47728,0
          -99.12588,19.47726,0
          -99.12564,19.47717,0
          -99.12534,19.47706,0
          -99.12526,19.47728,0
          -99.12535,19.47741,0
          -99.12536,19.47745,0
          -99.12538,19.47749,0
          -99.1254,19.47755,0
          -99.12542,19.4776,0
          -99.12545,19.47765,0
          -99.1255,19.47773,0
          -99.12556,19.4778,0
          -99.1256,19.47785,0
          -99.12567,19.47791,0
          -99.12574,19.47796,0
          -99.12576,19.47798,0
          -99.12583,19.47802,0
          -99.1259,19.47806,0
          -99.12599,19.4781,0
          -99.12605,19.47812,0
          -99.12608,19.47813,0
          -99.12617,19.47815,0
          -99.12628,19.47817,0
          -99.12635,19.47817,0
          -99.12642,19.47817,0
          -99.12649,19.47817,0
          -99.12658,19.47816,0
          -99.12673,19.47812,0
          -99.12677,19.47811,0
          -99.12688,19.47806,0
          -99.12698,19.47801,0
          -99.12709,19.47793,0
